Egypt,Africa,Northern Africa,1994,Artichokes,vegetables,Area harvested,2000.0
Lesotho,Africa,Sub-Saharan Africa,1974,Wheat,cereals,Area harvested,76592.0
Togo,Africa,Sub-Saharan Africa,2014,Cassava,Roots and tubers,Area harvested,282589.0
Burundi,Africa,Sub-Saharan Africa,2007,Tobacco,Industrial crops,Production,800.0
Ghana,Africa,Sub-Saharan Africa,1995,Plantains and others,fruits,Production,1637500.0
Nigeria,Africa,Sub-Saharan Africa,1983,Groundnuts,oil seeds,Area harvested,650000.0
Eswatini,Africa,Sub-Saharan Africa,1992,Vegetables,vegetables,Area harvested,1029.0
Nigeria,Africa,Sub-Saharan Africa,1987,Melonseed,oil seeds,Production,145000.0
Tunisia,Africa,Northern Africa,1999,Asparagus,vegetables,Production,175.0
Burkina Faso,Africa,Sub-Saharan Africa,2019,Yams,Roots and tubers,Area harvested,7180.0
Guinea-Bissau,Africa,Sub-Saharan Africa,2015,Oil palm fruit,oil seeds,Production,80500.0
South Africa,Africa,Sub-Saharan Africa,2014,Seed cotton,oil seeds,Area harvested,7458.0
Kenya,Africa,Sub-Saharan Africa,1975,Coconuts,oil seeds,Production,64000.0
Rwanda,Africa,Sub-Saharan Africa,1978,Pumpkins,vegetables,Production,65000.0
Egypt,Africa,Northern Africa,1990,Sunflower seed,oil seeds,Area harvested,14612.0
Uganda,Africa,Sub-Saharan Africa,2000,Castor oil seed,oil seeds,Area harvested,2854.0
Lesotho,Africa,Sub-Saharan Africa,1970,Barley,cereals,Area harvested,1216.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Grapefruit (inc. pomelos),fruits,Production,13536.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Groundnuts,oil seeds,Area harvested,80000.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Groundnuts,oil seeds,Production,60888.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Karite nuts (sheanuts),oil seeds,Area harvested,9000.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Karite nuts (sheanuts),oil seeds,Production,20551.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Kola nuts,Nuts,Area harvested,90000.0
Cote d'ivoire,Africa,Sub-Saharan Africa,1990,Kola nuts,Nuts,Production,56636.0
Mozambique,Africa,Sub-Saharan Africa,1981,Oranges,fruits,Area harvested,6000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Oranges,fruits,Production,25000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Papayas,fruits,Area harvested,4200.0
Mozambique,Africa,Sub-Saharan Africa,1981,Papayas,fruits,Production,38000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Pineapples,fruits,Area harvested,1900.0
Mozambique,Africa,Sub-Saharan Africa,1981,Pineapples,fruits,Production,13000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Potatoes,Roots and tubers,Area harvested,6000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Potatoes,Roots and tubers,Production,65000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Pulses nes,Pulses,Area harvested,200000.0
Mozambique,Africa,Sub-Saharan Africa,1981,Pulses nes,Pulses,Production,65000.0
